ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
5742,Üç Maymun,2008,7.4,Drama,16623,Nuri Bilge Ceylan,109,0.04
5749,The Stoning of Soraya M.,2008,8,Drama,16593,Cyrus Nowrasteh,114,0.66
5807,Lean on Me,1989,7.4,Drama,16282,John G. Avildsen,108,31.91
5818,Interiors,1978,7.5,Drama,16246,Woody Allen,92,NA
5821,Exotica,1994,7.1,Drama,16238,Atom Egoyan,103,4.18
5827,La stanza del figlio,2001,7.4,Drama,16187,Nanni Moretti,99,1.01
5897,Death in Venice,1971,7.5,Drama,15864,Luchino Visconti,130,NA
5907,Babettes gæstebud,1987,7.8,Drama,15837,Gabriel Axel,103,4.4
5933,Una Mujer Fantástica,2017,7.2,Drama,15630,Sebastián Lelio,104,2.02
5948,The Emperor's Club,2002,6.9,Drama,15570,Michael Hoffman,109,14.06
5964,Being Flynn,2012,6.4,Drama,15512,Paul Weitz,102,0.53
5980,Wheels,2014,9.4,Drama,15447,Tim Gagliardo,115,NA
5984,Extraordinary Measures,2010,6.5,Drama,15430,Tom Vaughan,106,11.85
6000,Smashed,2012,6.8,Drama,15343,James Ponsoldt,81,0.38
6029,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,8.2,Drama,15223,Robert Bresson,101,NA
6031,La Vénus à la fourrure,2013,7.2,Drama,15218,Roman Polanski,96,0.34
6042,Uzak,2002,7.7,Drama,15174,Nuri Bilge Ceylan,110,0.1
6076,Tomboy,2011,7.4,Drama,15058,Céline Sciamma,82,0.13
6094,Laurel Canyon,2002,6.4,Drama,14989,Lisa Cholodenko,103,3.66
6103,Tystnaden,1963,8,Drama,14944,Ingmar Bergman,96,NA
6106,Taps,1981,6.8,Drama,14935,Harold Becker,126,35.86
6107,The Girlfriend Experience,2009,5.5,Drama,14914,Steven Soderbergh,77,0.7
6159,Guzaarish,2010,7.5,Drama,14690,Sanjay Leela Bhansali,126,1.02
6183,Au Hasard Balthazar,1966,7.9,Drama,14543,Robert Bresson,95,0.04
6188,The Night,1961,8,Drama,14519,Michelangelo Antonioni,122,0.04
6197,Aquarius,2016,7.6,Drama,14484,Kleber Mendonça Filho,146,0.29
6214,Margaret,2011,6.5,Drama,14402,Kenneth Lonergan,150,0.05
6228,Wendy and Lucy,2008,7.1,Drama,14345,Kelly Reichardt,80,0.86
6268,"They Shoot Horses, Don't They?",1969,7.9,Drama,14132,Sydney Pollack,129,NA
6271,Timbuktu,2014,7.2,Drama,14126,Abderrahmane Sissako,97,1.08
6305,Leave No Trace,2018,7.2,Drama,13983,Debra Granik,109,6.05
6313,The Panic in Needle Park,1971,7.1,Drama,13923,Jerry Schatzberg,110,NA
6322,Little Buddha,1993,6,Drama,13903,Bernardo Bertolucci,123,4.86
6357,Akahige,1965,8.3,Drama,13777,Akira Kurosawa,185,NA
6362,The Joy Luck Club,1993,7.6,Drama,13736,Wayne Wang,139,32.86
6365,"To Sir, with Love",1967,7.7,Drama,13732,James Clavell,105,42.43
6432,Scarecrow,1973,7.3,Drama,13461,Jerry Schatzberg,112,NA
6435,Hamlet,1948,7.8,Drama,13453,Laurence Olivier,154,NA
6462,Five Minarets in New York,2010,5.9,Drama,13335,Mahsun Kirmizigül,119,NA
6474,The Cincinnati Kid,1965,7.3,Drama,13305,Norman Jewison,102,15.26
6489,Powder Blue,2009,6.3,Drama,13243,Timothy Linh Bui,106,NA
6540,Klass,2007,8,Drama,13046,Ilmar Raag,99,NA
6572,The Wild One,1953,6.9,Drama,12926,Laslo Benedek,79,NA
6575,Imitation of Life,1959,7.9,Drama,12916,Douglas Sirk,125,13.99
6588,Zabriskie Point,1970,7.1,Drama,12872,Michelangelo Antonioni,113,NA
6613,Interview,2007,6.8,Drama,12796,Steve Buscemi,84,0.42
6614,A torinói ló,2011,7.8,Drama,12782,Béla Tarr,155,0.05
6631,Little Man Tate,1991,6.7,Drama,12711,Jodie Foster,99,25.01
6652,The Brown Bunny,2003,5,Drama,12637,Vincent Gallo,93,0.37
6689,Kiss of the Spider Woman,1985,7.4,Drama,12523,Hector Babenco,120,17.04
6731,The Apostle,1997,7.2,Drama,12371,Robert Duvall,134,20.73
6781,Samaria,2004,7.1,Drama,12197,Ki-duk Kim,95,NA
6841,Sansho Dayu,1954,8.4,Drama,12043,Kenji Mizoguchi,124,NA
6885,Wakefield,2016,6.3,Drama,11922,Robin Swicord,106,0.26
6917,The Death of Mr. Lazarescu,2005,8,Drama,11837,Cristi Puiu,153,0.08
6959,Masumiyet,1997,8.3,Drama,11713,Zeki Demirkubuz,110,NA
6966,The Deep End of the Ocean,1999,6.4,Drama,11707,Ulu Grosbard,106,13.38
6969,Fireflies in the Garden,2008,6.5,Drama,11701,Dennis Lee,120,3.39
6981,Tetro,2009,6.9,Drama,11659,Francis Ford Coppola,127,0.52
7030,Another Woman,1988,7.4,Drama,11522,Woody Allen,81,1.56
7033,The Pillow Book,1996,6.7,Drama,11515,Peter Greenaway,126,2.29
7041,Late Spring,1949,8.3,Drama,11473,Yasujirô Ozu,108,NA
7071,Red Desert,1964,7.7,Drama,11396,Michelangelo Antonioni,117,NA
7079,Radio Flyer,1992,6.9,Drama,11365,Richard Donner,114,4.65
7089,Dhobi Ghat,2010,7.1,Drama,11329,Kiran Rao,100,0.58
7124,War Room,2015,6.4,Drama,11218,Alex Kendrick,120,67.79
7125,Flashbacks of a Fool,2008,6.8,Drama,11218,Baillie Walsh,109,0
7131,Talk Radio,1988,7.3,Drama,11205,Oliver Stone,110,3.47
7149,Wild Bill,2011,7.2,Drama,11156,Dexter Fletcher,98,NA
7180,The War,1994,6.7,Drama,11078,Jon Avnet,126,16.55
7204,Rosetta,1999,7.6,Drama,11035,Jean-Pierre Dardenne,95,0.26
7235,Nothing Is Private,2007,7,Drama,10950,Alan Ball,124,0.37
7237,Sherrybaby,2006,6.6,Drama,10943,Laurie Collyer,96,0.2
7256,Barbara,2012,7.2,Drama,10894,Christian Petzold,105,NA
7303,Elena,2011,7.3,Drama,10765,Andrey Zvyagintsev,109,0.02
7319,Der letzte Mann,1924,8.1,Drama,10694,F.W. Murnau,77,0.09
7332,Fashion,2008,7,Drama,10640,Madhur Bhandarkar,167,0.19
7334,Safe,1995,7.2,Drama,10636,Todd Haynes,119,0.51
7336,Newton,2017,7.8,Drama,10635,Amit Masurkar,106,NA
7350,"Kumiko, the Treasure Hunter",2014,6.6,Drama,10596,David Zellner,105,0.62
7360,Der siebente Kontinent,1989,7.8,Drama,10560,Michael Haneke,104,NA
7384,Die Ehe der Maria Braun,1978,7.9,Drama,10483,Rainer Werner Fassbinder,120,NA
7411,Takva,2006,7.5,Drama,10398,Özer Kiziltan,96,NA
7415,Ask Me Anything,2014,6.1,Drama,10378,Allison Burnett,100,NA
7417,One True Thing,1998,7,Drama,10377,Carl Franklin,127,23.25
7423,The Ballad of Jack and Rose,2005,6.7,Drama,10364,Rebecca Miller,112,0.71
7440,Yol,1982,8.2,Drama,10340,Serif Gören,114,NA
7441,Dupa dealuri,2012,7.6,Drama,10339,Cristian Mungiu,152,0.11
7448,The Selfish Giant,2013,7.3,Drama,10325,Clio Barnard,91,0.01
7461,Black or White,2014,6.6,Drama,10291,Mike Binder,121,21.57
7466,The Sea of Trees,2015,6,Drama,10254,Gus Van Sant,110,0.02
7478,Louder Than Bombs,2015,6.6,Drama,10215,Joachim Trier,109,0.16
7488,Hrútar,2015,7.3,Drama,10192,Grímur Hákonarson,93,0.14
